2021-11-24 12:45:02,247 | customize_polyline_lap | DEBUG | Structural model_frame: Frame(Point(24468.570, 6204.681, 319.218), Vector(0.985, 0.174, 0.000), Vector(-0.174, 0.985, 0.000))
2021-11-24 12:45:02,247 | customize_polyline_lap | INFO | Joint Found: ('b2', 'b10'), 2.05692637572e-10
2021-11-24 12:45:02,247 | customize_polyline_lap | INFO | Joint Found: ('b10', 'b11'), 1.49890135158e-10
2021-11-24 12:45:02,264 | customize_polyline_lap | INFO | Joint Found: ('b3', 'b10'), 1.14267431796e-10
2021-11-24 12:45:02,267 | customize_polyline_lap | INFO | Joint Found: ('b2', 'b9'), 2.06585470264e-10
2021-11-24 12:45:02,270 | customize_polyline_lap | INFO | Joint Found: ('b9', 'b11'), 1.54787875632e-10
2021-11-24 12:45:02,274 | customize_polyline_lap | INFO | Joint Found: ('b3', 'b9'), 1.12811260605e-10
2021-11-24 12:45:02,277 | customize_polyline_lap | INFO | Joint Found: ('b2', 'b4'), 2.05674665977e-10
2021-11-24 12:45:02,281 | customize_polyline_lap | INFO | Joint Found: ('b4', 'b11'), 1.81044424027e-10
2021-11-24 12:45:02,285 | customize_polyline_lap | INFO | Joint Found: ('b3', 'b4'), 1.15133057872e-10
2021-11-24 12:45:02,287 | customize_polyline_lap | INFO | Joint Found: ('b5', 'b16'), 2.77312376876e-10
2021-11-24 12:45:02,289 | customize_polyline_lap | INFO | Joint Found: ('b16', 'b17'), 2.09829810226e-10
2021-11-24 12:45:02,292 | customize_polyline_lap | INFO | Joint Found: ('b2', 'b16'), 2.05676551183e-10
2021-11-24 12:45:02,296 | customize_polyline_lap | INFO | Joint Found: ('b5', 'b6'), 2.34332152689e-10
2021-11-24 12:45:02,299 | customize_polyline_lap | INFO | Joint Found: ('b6', 'b17'), 2.07247082746e-10
2021-11-24 12:45:02,302 | customize_polyline_lap | INFO | Joint Found: ('b2', 'b6'), 2.05815254947e-10
2021-11-24 12:45:02,304 | customize_polyline_lap | INFO | Joint Found: ('b0', 'b5'), 1.20483812975e-07
2021-11-24 12:45:02,307 | customize_polyline_lap | INFO | Joint Found: ('b0', 'b17'), 2.04894876836e-10
2021-11-24 12:45:02,309 | customize_polyline_lap | INFO | Joint Found: ('b0', 'b2'), 1.16427325323e-07
2021-11-24 12:45:02,312 | customize_polyline_lap | INFO | Joint Found: ('b7', 'b14'), 1.35086755433e-10
2021-11-24 12:45:02,315 | customize_polyline_lap | INFO | Joint Found: ('b14', 'b15'), 3.60926472266e-10
2021-11-24 12:45:02,321 | customize_polyline_lap | INFO | Joint Found: ('b5', 'b14'), 2.40919979251e-10
2021-11-24 12:45:02,324 | customize_polyline_lap | INFO | Joint Found: ('b7', 'b13'), 1.34162029387e-10
2021-11-24 12:45:02,326 | customize_polyline_lap | INFO | Joint Found: ('b13', 'b15'), 2.26644911788e-10
2021-11-24 12:45:02,329 | customize_polyline_lap | INFO | Joint Found: ('b5', 'b13'), 2.33150612115e-10
2021-11-24 12:45:02,331 | customize_polyline_lap | INFO | Joint Found: ('b7', 'b12'), 1.36802683759e-10
2021-11-24 12:45:02,334 | customize_polyline_lap | INFO | Joint Found: ('b12', 'b15'), 4.02257448874e-10
2021-11-24 12:45:02,336 | customize_polyline_lap | INFO | Joint Found: ('b5', 'b12'), 2.1520314805e-10
2021-11-24 12:45:02,339 | customize_polyline_lap | INFO | Joint Found: ('b3', 'b18'), 1.14235756831e-10
2021-11-24 12:45:02,341 | customize_polyline_lap | INFO | Joint Found: ('b18', 'b19'), 1.05066322243e-10
2021-11-24 12:45:02,344 | customize_polyline_lap | INFO | Joint Found: ('b7', 'b18'), 1.37931700811e-10
2021-11-24 12:45:02,346 | customize_polyline_lap | INFO | Joint Found: ('b3', 'b8'), 1.14730692854e-10
2021-11-24 12:45:02,351 | customize_polyline_lap | INFO | Joint Found: ('b8', 'b19'), 1.10409060711e-10
2021-11-24 12:45:02,354 | customize_polyline_lap | INFO | Joint Found: ('b7', 'b8'), 1.37680346137e-10
2021-11-24 12:45:02,356 | customize_polyline_lap | INFO | Joint Found: ('b1', 'b3'), 1.13304206042e-10
2021-11-24 12:45:02,359 | customize_polyline_lap | INFO | Joint Found: ('b1', 'b19'), 1.35059628277e-10
2021-11-24 12:45:02,361 | customize_polyline_lap | INFO | Joint Found: ('b1', 'b7'), 1.49689262233e-10
2021-11-24 12:45:13,971 | customize_polyline_lap | DEBUG | Structural model_frame: Frame(Point(24468.570, 6204.681, 319.218), Vector(0.985, 0.174, 0.000), Vector(-0.174, 0.985, 0.000))
2021-11-24 12:45:13,975 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:13,980 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:13,985 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:13,989 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:13,998 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,002 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,008 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,013 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,017 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,021 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,026 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,037 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,078 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,083 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,087 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,091 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,094 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,094 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,094 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,094 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,110 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,110 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,110 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,110 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,125 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,125 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,125 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,141 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,149 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,154 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,156 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,165 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,171 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:45:14,175 | customize_polyline_lap | WARNING | Joint Not Found
