25340.073;7141.085;580.501
25380.246;7126.724;580.548
25380.246;7126.724;580.548
25299.982;7134.495;580.567
25385.232;7121.534;548.132
25385.232;7121.534;548.132
25294.208;7121.634;549.030
25294.227;7121.647;549.052
25201.884;7256.117;556.118
25240.806;7266.567;580.917
25198.713;7273.393;580.843
25281.391;7261.026;581.166
25238.717;7907.271;579.712
25275.710;7908.588;579.829
25194.797;7939.391;579.605
25219.094;7960.805;566.141
25261.593;7960.629;565.559
25204.182;8430.965;557.071
25204.182;8430.965;557.071
25204.182;8430.965;557.071
25204.203;8430.970;557.054
25204.203;8430.970;557.054
25261.122;8430.983;565.867
25261.123;8430.988;565.859
25243.721;8452.085;579.913
25200.141;8449.630;579.921
25281.695;8446.735;580.023
25281.695;8446.735;580.023
25281.695;8446.735;580.023
25281.694;8446.728;580.025
25281.694;8446.728;580.025
25281.722;8609.094;580.128
25211.999;8618.667;566.084
25211.999;8618.667;566.084
25261.401;8618.222;546.814
25261.316;8618.133;546.783
25243.418;8605.113;580.234
25243.418;8605.113;580.234
25197.038;8608.492;580.131
25197.038;8608.492;580.131
25197.038;8608.492;580.131
25189.833;8606.344;567.054
25189.714;8449.928;568.919
25189.714;8449.922;568.912
25190.450;9143.086;568.662
25190.653;9303.418;570.828
25190.653;9303.419;570.819
25211.000;9130.945;543.129
25211.000;9130.945;543.129
25260.665;9130.594;543.638
25260.679;9130.597;543.645
25220.084;9318.733;567.315
25274.802;9318.498;569.917
25274.850;9318.498;569.926
25282.900;9312.009;580.442
25282.900;9312.009;580.442
25243.851;9311.186;580.378
25243.881;9311.171;580.367
25201.377;9308.549;580.588
25201.693;9625.261;580.123
25243.578;9630.630;580.099
25282.430;9627.228;580.190
25213.052;9619.101;564.368
25213.052;9619.101;564.368
25213.052;9619.101;564.368
25213.066;9619.075;564.347
25262.644;9618.955;563.795
25191.219;9641.556;566.326
25191.618;10299.398;567.903
25205.288;10323.824;558.828
25344.884;10406.102;580.688
25298.711;10400.320;580.723
25298.711;10400.320;580.723
25380.966;10404.899;580.527
25312.615;10420.447;565.267
25379.293;10420.410;552.702
25379.293;10420.410;552.702
25347.033;9689.368;580.388
25304.705;9695.289;580.411
25380.225;9701.497;580.382
25380.225;9701.497;580.382
25306.272;9228.031;580.357
25383.898;9234.747;580.341
25341.155;9232.363;580.410
25342.713;8526.750;580.363
25379.899;8532.708;580.442
25303.625;8528.039;580.263
25303.625;8528.039;580.263
25377.943;7885.013;580.309
25377.943;7885.013;580.309
25338.194;7882.344;580.269
