2022-02-03 13:11:26,808 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:27,152 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:27,543 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:27,962 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:28,281 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:28,625 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:28,956 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:29,300 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:29,630 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:29,942 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:30,302 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:30,677 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:31,003 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:31,322 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
