2021-11-24 12:56:32,460 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,460 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\7.txt
2021-11-24 12:56:32,464 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.073,0.],[0.1,0.1],[0.5,0.19],[0.9,0.1],[0.915,0.],[1.,0.]],[[0.,0.],[0.,0.085],[0.1,0.1],[0.5,0.16],[0.9,0.1],[1.,0.073],[1.,0.]],[[0.,0.],[0.073,0.],[0.1,0.1],[0.5,0.19],[0.9,0.1],[0.915,0.],[1.,0.]],[[0.,0.],[0.,0.085],[0.1,0.1],[0.5,0.16],[0.9,0.1],[1.,0.073],[1.,0.]]]]
2021-11-24 12:56:32,469 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,469 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\8.txt
2021-11-24 12:56:32,474 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.09,0.],[0.09,0.09],[0.5,0.16],[0.91,0.09],[0.91,0.],[1.,0.]],[[0.,0.],[0.,0.09],[0.09,0.09],[0.5,0.09],[0.91,0.09],[1.,0.09],[1.,0.]],[[0.,0.],[0.09,0.],[0.09,0.09],[0.5,0.16],[0.91,0.09],[0.91,0.],[1.,0.]],[[0.,0.],[0.,0.09],[0.09,0.09],[0.5,0.09],[0.91,0.09],[1.,0.09],[1.,0.]]]]
2021-11-24 12:56:32,479 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,480 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\9.txt
2021-11-24 12:56:32,484 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.03,0.03],[0.5,0.03],[1.,0.]],[[0.,0.],[0.5,0.08],[0.97,0.03],[1.,0.]],[[0.,0.],[0.03,0.03],[0.5,0.03],[1.,0.]],[[0.,0.],[0.5,0.08],[0.97,0.03],[1.,0.]]]]
2021-11-24 12:56:32,497 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,498 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\10.txt
2021-11-24 12:56:32,504 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.029,0.],[0.03,0.03],[0.5,0.09],[1.,0.]],[[0.,0.],[0.5,0.05],[0.97,0.03],[1.,0.029],[1.,0.]],[[0.,0.],[0.029,0.],[0.03,0.03],[0.5,0.09],[1.,0.]],[[0.,0.],[0.5,0.05],[0.97,0.03],[1.,0.029],[1.,0.]]]]
2021-11-24 12:56:32,514 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,514 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\11.txt
2021-11-24 12:56:32,519 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.074,0.],[0.08,0.08],[0.5,0.1],[0.94,0.06],[0.947,0.],[1.,0.]],[[0.,0.],[0.,0.053],[0.06,0.06],[0.5,0.11],[0.92,0.08],[1.,0.074],[1.,0.]],[[0.,0.],[0.074,0.],[0.08,0.08],[0.5,0.1],[0.94,0.06],[0.947,0.],[1.,0.]],[[0.,0.],[0.,0.053],[0.06,0.06],[0.5,0.11],[0.92,0.08],[1.,0.074],[1.,0.]]]]
2021-11-24 12:56:32,526 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,527 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\12.txt
2021-11-24 12:56:32,530 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.05],[1.,0.]],[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.05],[1.,0.]]]]
2021-11-24 12:56:32,537 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,537 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\13.txt
2021-11-24 12:56:32,540 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.07,0.],[0.07,0.07],[0.5,0.13],[0.96,0.04],[1.,0.]],[[0.,0.],[0.04,0.04],[0.5,0.07],[0.93,0.07],[1.,0.07],[1.,0.]],[[0.,0.],[0.07,0.],[0.07,0.07],[0.5,0.13],[0.96,0.04],[1.,0.]],[[0.,0.],[0.04,0.04],[0.5,0.07],[0.93,0.07],[1.,0.07],[1.,0.]]]]
2021-11-24 12:56:32,550 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,550 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\14.txt
2021-11-24 12:56:32,554 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.083,0.],[0.1,0.1],[0.5,0.14],[0.92,0.08],[0.937,0.],[1.,0.]],[[0.,0.],[0.,0.063],[0.08,0.08],[0.5,0.17],[0.9,0.1],[1.,0.083],[1.,0.]],[[0.,0.],[0.083,0.],[0.1,0.1],[0.5,0.14],[0.92,0.08],[0.937,0.],[1.,0.]],[[0.,0.],[0.,0.063],[0.08,0.08],[0.5,0.17],[0.9,0.1],[1.,0.083],[1.,0.]]]]
2021-11-24 12:56:32,559 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,559 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\15.txt
2021-11-24 12:56:32,563 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.059,0.],[0.08,0.08],[0.5,0.11],[0.92,0.08],[0.92,0.],[1.,0.]],[[0.,0.],[0.,0.08],[0.08,0.08],[0.5,0.08],[0.92,0.08],[1.,0.059],[1.,0.]],[[0.,0.],[0.059,0.],[0.08,0.08],[0.5,0.11],[0.92,0.08],[0.92,0.],[1.,0.]],[[0.,0.],[0.,0.08],[0.08,0.08],[0.5,0.08],[0.92,0.08],[1.,0.059],[1.,0.]]]]
2021-11-24 12:56:32,575 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,575 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\16.txt
2021-11-24 12:56:32,578 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.085,0.],[0.1,0.1],[0.5,0.16],[0.9,0.1],[0.927,0.],[1.,0.]],[[0.,0.],[0.,0.073],[0.1,0.1],[0.5,0.16],[0.9,0.1],[1.,0.085],[1.,0.]],[[0.,0.],[0.085,0.],[0.1,0.1],[0.5,0.16],[0.9,0.1],[0.927,0.],[1.,0.]],[[0.,0.],[0.,0.073],[0.1,0.1],[0.5,0.16],[0.9,0.1],[1.,0.085],[1.,0.]]]]
2021-11-24 12:56:32,583 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,584 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\17.txt
2021-11-24 12:56:32,587 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.049,0.],[0.05,0.05],[0.5,0.06],[0.94,0.06],[0.94,0.],[1.,0.]],[[0.,0.],[0.,0.06],[0.06,0.06],[0.5,0.06],[0.95,0.05],[1.,0.049],[1.,0.]],[[0.,0.],[0.049,0.],[0.05,0.05],[0.5,0.06],[0.94,0.06],[0.94,0.],[1.,0.]],[[0.,0.],[0.,0.06],[0.06,0.06],[0.5,0.06],[0.95,0.05],[1.,0.049],[1.,0.]]]]
2021-11-24 12:56:32,592 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,592 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\18.txt
2021-11-24 12:56:32,596 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.],[1.,0.]]]]
2021-11-24 12:56:32,600 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,600 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\19.txt
2021-11-24 12:56:32,604 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.],[1.,0.]]]]
2021-11-24 12:56:32,611 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,611 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\20.txt
2021-11-24 12:56:32,616 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.],[1.,0.]]]]
2021-11-24 12:56:32,624 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,624 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\21.txt
2021-11-24 12:56:32,629 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.03,0.],[0.03,0.03],[0.5,0.03],[1.,0.]],[[0.,0.],[0.5,0.03],[0.97,0.03],[1.,0.03],[1.,0.]],[[0.,0.],[0.03,0.],[0.03,0.03],[0.5,0.03],[1.,0.]],[[0.,0.],[0.5,0.03],[0.97,0.03],[1.,0.03],[1.,0.]]]]
2021-11-24 12:56:32,636 | customize_polyline_lap | WARNING | Joint Not Found
