Time	Tip Location
18:22:01	25358.554;8634.623;631.585
18:22:07	25391.667;7974.445;640.007
18:22:11	25391.540;7945.622;638.319
18:22:14	25379.153;7982.628;631.580
18:22:24	25382.910;7932.713;635.542
18:22:29	25391.170;7425.364;633.753
18:22:32	25391.126;7395.653;636.522
18:22:41	25351.435;7433.676;637.794
18:22:41	25351.435;7433.676;637.794
18:22:41	25351.443;7433.675;637.790
18:22:41	25351.443;7433.675;637.790
18:22:41	25351.443;7433.675;637.790
18:22:47	25349.824;7384.376;637.184
18:22:47	25349.824;7384.376;637.184
18:22:56	25568.726;6688.329;484.529
18:23:00	25569.097;6718.468;475.586
18:23:06	25608.523;6681.385;480.104
18:23:06	25608.523;6681.385;480.104
18:23:11	25608.061;6730.704;480.167
18:23:23	26333.163;6728.835;475.610
18:23:26	26361.227;6728.637;477.904
18:23:42	26373.403;6714.698;474.284
18:23:52	26337.234;6678.930;479.634
18:23:57	26348.052;6713.366;498.537
18:24:04	26430.810;6705.739;747.875
18:24:07	26404.888;6714.238;713.345
18:24:18	26443.386;6727.439;719.524
18:24:24	26444.241;6677.635;730.237
18:24:28	26503.990;6718.072;714.299
18:24:31	26572.045;6690.286;714.046
18:24:31	26571.970;6690.299;714.049
18:25:06	26709.397;6699.761;689.508
18:25:13	26690.790;6718.266;713.790
18:25:13	26690.790;6718.266;713.790
18:25:16	26687.608;6687.193;713.944
18:25:16	26687.602;6687.220;713.939
18:25:16	26687.602;6687.220;713.939
18:25:20	26688.388;6727.727;705.118
18:25:27	26688.081;6678.218;702.833
18:25:33	26643.925;5909.133;815.749
18:25:36	26607.966;5910.302;816.072
18:25:45	26603.690;5918.287;768.865
18:25:50	26640.076;5903.923;785.606
18:25:50	26640.076;5903.923;785.606
18:25:50	26640.076;5903.923;785.606
18:25:55	26652.211;5909.330;767.706
18:25:55	26652.211;5909.330;767.706
18:26:04	26619.555;7503.093;787.473
18:26:12	26642.695;7503.246;746.058
18:26:12	26642.695;7503.246;746.058
18:26:25	26605.186;7496.463;721.493
18:26:30	26655.159;7271.435;769.621
18:26:46	26645.057;7459.644;466.545
18:26:46	26645.057;7459.644;466.545
18:26:46	26645.057;7459.644;466.545
18:26:46	26645.057;7459.644;466.545
18:26:46	26645.057;7459.644;466.545
18:27:00	26634.778;7473.636;213.979
18:27:00	26634.778;7473.636;213.979
18:27:11	26649.927;7291.761;196.181
18:27:11	26649.925;7291.732;196.160
18:27:21	26639.519;5947.180;622.673
